order_id,order_date,country,sub_region,sales_channel,product_category,customer_segment,payment_method,shipping_mode,units_sold,net_sales_eur,discount_pct,delivery_days,return_status
EUO-2025-104125,2025-07-26,Netherlands,Western Europe,Mobile App,Home & Living,Returning,Buy Now Pay Later,Standard,2,101.11,5.82,1.0,
EUO-2024-104983,2024-09-14,Italy,Southern Europe,Website,Fashion,Returning,,Standard,1,34.88,8.53,5.2,Not Returned
EUO-2024-111273,2024-05-07,Poland,Central & Eastern Europe,Website,Fashion,VIP,PayPal,Next Day,3,268.74,4.55,1.8,Returned
EUO-2025-111431,2025-05-21,United Kingdom,Western Europe,Mobile App,Fashion,New,Credit Card,Standard,4,409.24,7.89,4.4,Not Returned
EUO-2025-106107,2025-05-22,United Kingdom,Western Europe,Mobile App,Electronics,New,Bank Transfer,Economy,1,94.33,4.96,9.1,
EUO-2025-104035,2025-10-14,Italy,Southern Europe,Website,Home & Living,VIP,Bank Transfer,Pickup Point,3,143.23,,5.8,Not Returned
EUO-2024-111582,2024-11-13,Germany,Western Europe,Website,Home & Living,New,PayPal,Standard,3,426.23,5.71,4.4,Not Returned
EUO-2025-100884,2025-02-02,Denmark,Northern Europe,Website,Electronics,New,Debit Card,Next Day,4,1173.69,2.5,1.0,Not Returned
EUO-2025-105357,2025-04-07,Italy,Southern Europe,Website,Sports,Returning,Credit Card,Standard,3,177.74,4.01,4.4,Not Returned
EUO-2025-101433,2025-05-23,Germany,Western Europe,Mobile App,Home & Living,Returning,Debit Card,Standard,1,90.35,10.46,4.1,Not Returned
EUO-2024-100902,2024-12-26,Germany,Western Europe,Website,Office Supplies,Returning,Apple Pay,Standard,3,73.97,8.67,3.6,Not Returned
EUO-2024-114805,2024-10-08,Germany,Western Europe,Website,Fashion,VIP,Debit Card,Economy,1,43.32,7.31,7.5,Not Returned
EUO-2025-105333,2025-07-19,Germany,Western Europe,Website,Sports,New,PayPal,Standard,3,250.95,1.26,6.9,Returned
EUO-2024-110602,2024-12-20,France,Western Europe,Marketplace,Pet Care,Returning,Credit Card,Express,1,88.84,9.54,3.1,Not Returned
EUO-2025-112902,2025-06-10,Germany,Western Europe,Website,Electronics,Returning,Apple Pay,Express,4,899.18,4.48,1.4,Not Returned
EUO-2025-111875,2025-05-17,Spain,Southern Europe,Marketplace,Beauty,Returning,Apple Pay,Economy,1,60.1,7.79,8.8,Not Returned
EUO-2025-101121,2025-11-21,Germany,Western Europe,Website,Home & Living,Returning,Credit Card,Standard,3,191.75,8.17,5.6,Not Returned
EUO-2025-102452,2025-05-20,Spain,Southern Europe,Website,Beauty,New,Credit Card,Next Day,2,39.67,7.12,1.3,Not Returned
EUO-2025-100542,07/11/2025,Germany,Western Europe,Mobile App,Fashion,VIP,Credit Card,Economy,6,225.89,10.11,7.9,Returned
EUO-2024-108994,2024-08-02,France,Western Europe,Website,Pet Care,New,Buy Now Pay Later,Next Day,1,28.74,12.32,2.7,No Return
EUO-2024-112389,2024-08-09,Netherlands,Western Europe,Mobile App,Home & Living,Returning,Apple Pay,Economy,1,55.42,4.46,7.7,Not Returned
EUO-2024-109237,2024-08-26,United Kingdom,Western Europe,Website,Sports,Returning,Buy Now Pay Later,Economy,1,119.11,1.03,6.6,Not Returned
EUO-2025-103833,2025-08-19,Spain,Southern Europe,Website,Office Supplies,Returning,Buy Now Pay Later,Standard,1,41.43,5.2,7.2,Not Returned
EUO-2025-108108,2025-04-02,Italy,Southern Europe,Website,Beauty,Returning,Apple Pay,Economy,1,40.39,3.56,8.5,Not Returned
EUO-2024-105527,2024-06-09,Netherlands,Western Europe,Website,Fashion,New,Apple Pay,Standard,3,138.9,3.68,5.9,Exchanged
EUO-2024-108249,2024-09-12,United Kingdom,Western Europe,Marketplace,Electronics,New,Bank Transfer,Pickup Point,2,660.87,3.54,6.2,Not Returned
EUO-2024-109743,2024-11-24,United Kingdom,Western Europe,Mobile App,Home & Living,New,Debit Card,Standard,4,117.44,3.61,5.4,Not Returned
EUO-2025-112426,2025-05-04,France,Western Europe,Website,Pet Care,VIP,Buy Now Pay Later,Standard,1,36.65,11.67,5.3,not returned
EUO-2025-107087,2025-04-18,Sweden,Northern Europe,Mobile App,Electronics,Returning,PayPal,Standard,1,333.82,10.28,5.8,Not Returned
EUO-2025-113849,2025-09-23,Poland,Central & Eastern Europe,Mobile App,Electronics,Business,Credit Card,Next Day,1,398.46,6.38,2.3,Not Returned
EUO-2024-107834,2024-04-16,Spain,Southern Europe,Mobile App,Sports,,PayPal,Next Day,2,136.68,7.29,1.6,Not Returned
EUO-2025-104863,2025-09-06,Netherlands,Western Europe,Website,Beauty,Returning,Apple Pay,Standard,1,54.98,9.23,4.9,not returned
EUO-2025-102798,2025-08-08,Italy,Southern Europe,Mobile App,Beauty,Business,Credit Card,Standard,2,98.17,4.28,5.0,Not Returned
EUO-2024-105403,2024-12-07,United Kingdom,Western Europe,Website,Home & Living,VIP,Credit Card,Express,1,210.9,7.16,3.7,Returned
EUO-2025-108847,2025-02-04,Germany,Western Europe,Website,Fashion,Business,Buy Now Pay Later,Standard,2,306.9,5.03,5.9,Not Returned
EUO-2025-106270,2025-06-06,Germany,Western Europe,Marketplace,Home & Living,New,Buy Now Pay Later,Express,2,167.33,7.29,2.4,Not Returned
EUO-2025-103774,2025-07-14,Spain,Southern Europe,Website,Electronics,Returning,Credit Card,Standard,3,1421.22,7.93,5.8,Not Returned
EUO-2024-112239,2024-08-05,Poland,Central & Eastern Europe,Website,Fashion,Returning,Credit Card,Express,5,518.44,1.47,1.5,Not Returned
EUO-2025-104400,2025-04-26,Poland,Central & Eastern Europe,Marketplace,Toys,Returning,Debit Card,Standard,2,93.63,21.84,5.7,Not Returned
EUO-2025-103213,2025-05-31,Germany,Western Europe,Website,Home & Living,Returning,Credit Card,Standard,2,134.05,5.55,5.1,Not Returned
EUO-2025-110586,2025-09-04,France,Western Europe,Website,Fashion,,Credit Card,Standard,1,16.06,7.21,5.6,Not Returned
EUO-2024-108118,2024-12-21,United Kingdom,Western Europe,Website,Sports,New,Bank Transfer,Express,1,78.89,12.08,2.6,Not Returned
EUO-2025-102626,2025-05-24,United Kingdom,Western Europe,Mobile App,Home & Living,New,PayPal,Economy,3,176.09,12.1,7.2,Not Returned
EUO-2025-104514,2025-05-15,Poland,Central & Eastern Europe,Website,Home & Living,New,Credit Card,Standard,1,59.26,15.33,4.0,Not Returned
EUO-2025-110768,2025-06-22,France,Western Europe,Website,Electronics,VIP,Apple Pay,Standard,2,249.86,8.93,6.5,Not Returned
EUO-2025-109257,2025-09-12,Belgium,Western Europe,Marketplace,Beauty,New,Credit Card,Express,4,162.62,12.13,4.2,Not Returned
EUO-2025-111723,2025-04-14,United Kingdom,Western Europe,Website,Beauty,New,PayPal,Standard,1,15.15,2.62,5.4,Not Returned
EUO-2025-102957,2025-09-18,Poland,Central & Eastern Europe,Website,Fashion,Returning,Credit Card,Economy,1,46.55,6.73,7.8,Not Returned
EUO-2025-110705,2025-07-06,Italy,Southern Europe,Website,Electronics,Returning,Debit Card,Standard,1,118.46,1.09,7.2,Not Returned
EUO-2025-114626,2025-01-10,Austria,Central Europe,Mobile App,Home & Living,Returning,Buy Now Pay Later,Standard,1,50.38,9.58,1.5,
EUO-2025-106307,2025-12-21,Germany,Western Europe,Website,Electronics,,Bank Transfer,Express,2,73.84,0.43,2.8,Not Returned
EUO-2024-103111,2024-08-08,Germany,Western Europe,Marketplace,Fashion,Returning,Debit Card,Express,2,74.61,11.34,3.2,Not Returned
EUO-2025-108166,2025-08-27,Austria,Central Europe,Mobile App,Fashion,Returning,PayPal,Standard,1,34.35,1.5,5.4,Not Returned
EUO-2025-114024,2025-04-27,Germany,Western Europe,Mobile App,Electronics,Returning,Bank Transfer,Standard,1,161.58,3.28,5.3,Not Returned
EUO-2024-108047,2024-11-08,Poland,Central & Eastern Europe,Mobile App,Home & Living,Returning,Credit Card,Standard,1,35.99,9.02,5.8,Not Returned
EUO-2025-109578,2025-01-10,United Kingdom,Western Europe,Marketplace,Home & Living,Returning,PayPal,Standard,2,42.16,7.63,5.3,Not Returned
EUO-2024-108177,2024-04-25,France,Western Europe,Website,Fashion,Returning,Credit Card,Standard,2,42.46,5.77,5.5,Not Returned
EUO-2025-111974,2025-07-24,United Kingdom,Western Europe,Website,Pet Care,Returning,PayPal,Express,3,237.5,7.42,3.9,Returned
EUO-2025-114361,2025-04-24,France,Western Europe,Website,Beauty,Returning,Buy Now Pay Later,Economy,1,24.73,20.15,5.7,Not Returned
EUO-2024-106422,2024-09-19,Poland,Central & Eastern Europe,Mobile App,Beauty,Business,Credit Card,Standard,8,318.53,10.54,7.4,Not Returned
EUO-2024-114413,2024-07-31,Poland,Central & Eastern Europe,Mobile App,Home & Living,Returning,PayPal,Standard,1,94.85,1.28,3.2,Not Returned
EUO-2024-106275,2024-09-19,Italy,Southern Europe,Website,Fashion,Business,Buy Now Pay Later,Economy,6,242.99,4.82,6.0,Not Returned
EUO-2024-112926,2024-10-02,Germany,Western Europe,Mobile App,Pet Care,Returning,Credit Card,Express,1,14.08,11.7,3.0,Not Returned
EUO-2025-113681,2025-08-01,France,Western Europe,Mobile App,Beauty,VIP,Credit Card,Economy,6,145.31,17.92,8.5,Not Returned
EUO-2025-103045,2025-09-22,Germany,Western Europe,WEB,Fashion,VIP,Buy Now Pay Later,Standard,1,13.82,26.03,,Not Returned
EUO-2025-105701,2025-10-17,United Kingdom,Western Europe,Mobile App,Beauty,VIP,Debit Card,Standard,1,18.04,6.55,4.7,Not Returned
EUO-2025-102608,2025-04-09,Spain,Southern Europe,Website,Home & Living,,Debit Card,Express,1,57.76,7.72,4.6,Not Returned
EUO-2025-105958,2025-09-03,United Kingdom,Western Europe,Website,Toys,VIP,Debit Card,Economy,2,56.86,9.42,7.6,Not Returned
EUO-2025-110689,2025-01-02,Austria,Central Europe,Website,Electronics,Returning,Credit Card,Express,1,108.18,6.25,1.4,Not Returned
EUO-2024-114639,2024-10-10,Ireland,Western Europe,Website,Sports,Business,Credit Card,Standard,1,107.57,4.92,6.1,Returned
EUO-2025-102109,2025-02-21,United Kingdom,Western Europe,Website,Electronics,New,PayPal,Standard,3,324.79,6.67,4.3,Not Returned
EUO-2024-103105,2024-11-09,Italy,Southern Europe,Website,Fashion,VIP,Bank Transfer,Standard,2,81.86,3.8,4.1,Not Returned
EUO-2025-102351,2025-03-25,Poland,Central & Eastern Europe,Mobile App,Home & Living,VIP,Credit Card,Pickup Point,2,143.01,6.14,3.9,Not Returned
EUO-2025-108026,2024-09-21,France,Western Europe,Website,Fashion,Returning,Apple Pay,Economy,8,310.95,,4.7,Not Returned
EUO-2025-108768,06-09-2025,Sweden,Northern Europe,Marketplace,Sports,New,Credit Card,Standard,1,125.96,8.17,5.6,Not Returned
EUO-2025-105411,2025-10-12,Sweden,Northern Europe,Website,Home & Living,New,Credit Card,Pickup Point,1,226.05,1.96,4.3,Not Returned
EUO-2024-104672,2024-07-03,Austria,Central Europe,Website,Sports,Returning,Credit Card,Standard,1,58.28,8.57,4.8,Returned
EUO-2024-110712,2024-10-28,Germany,Western Europe,Mobile App,Home & Living,Returning,Credit Card,Standard,1,56.94,0.59,3.3,Not Returned
EUO-2025-108364,2025-06-03,Netherlands,Western Europe,Mobile App,Fashion,New,PayPal,Next Day,3,126.74,10.2,1.0,Not Returned
EUO-2024-107139,2024-11-04,Spain,Southern Europe,Website,Beauty,New,Credit Card,Standard,10,344.01,4.07,6.3,Not Returned
EUO-2025-113720,2025-10-11,France,Western Europe,Marketplace,Home & Living,New,Buy Now Pay Later,Economy,4,339.25,6.41,7.3,Not Returned
EUO-2025-105723,2025-02-06,Germany,Western Europe,Mobile App,Sports,Returning,Credit Card,Standard,2,587.43,7.4,4.2,Not Returned
EUO-2025-114141,2025-07-08,Netherlands,Western Europe,Website,Fashion,Returning,Credit Card,Standard,2,82.95,7.22,6.5,Not Returned
EUO-2025-112336,2025-03-31,Spain,Southern Europe,Mobile App,Sports,New,Bank Transfer,Economy,1,106.69,7.36,8.1,Returned
EUO-2025-108677,2025-04-25,Czech Republic,Central & Eastern Europe,Website,Home & Living,Returning,Debit Card,Economy,1,27.14,3.21,7.6,Not Returned
EUO-2025-100862,2025-06-20,France,Western Europe,website,Electronics,Returning,PayPal,Next Day,2,647.21,13.87,2.7,Not Returned
EUO-2024-102861,2024-09-02,Poland,Central & Eastern Europe,Website,Beauty,Returning,Debit Card,Standard,4,179.25,3.55,3.9,Not Returned
EUO-2024-109264,17/06/2024,Spain,Southern Europe,Marketplace,Beauty,Returning,Credit Card,Pickup Point,1,17.61,15.3,,Not Returned
EUO-2025-107203,2025-12-01,Sweden,Northern Europe,Website,Home & Living,New,Bank Transfer,Standard,4,558.53,4.16,3.2,Not Returned
EUO-2025-106384,2025-07-20,Netherlands,Western Europe,Mobile App,Home & Living,,Apple Pay,Economy,1,100.05,9.84,7.3,Not Returned
EUO-2025-104526,2025-02-13,Sweden,Northern Europe,Website,Sports,Returning,Credit Card,Economy,1,54.7,4.0,6.7,Not Returned
EUO-2025-112121,2025-03-28,France,Western Europe,Marketplace,Home & Living,Returning,PayPal,Standard,1,112.41,,5.5,Returned
EUO-2024-103651,2024-03-31,Germany,Western Europe,Mobile App,Home & Living,VIP,PayPal,Standard,1,188.6,5.54,4.9,Not Returned
EUO-2025-104954,2025-01-23,Netherlands,Western Europe,Website,Home & Living,VIP,Apple Pay,Economy,1,98.19,10.59,4.7,Returned
EUO-2024-109745,28/08/2024,Netherlands,Western Europe,Website,Sports,New,Credit Card,Standard,1,178.84,1.57,3.5,Not Returned
EUO-2024-106461,2024-07-10,Spain,Southern Europe,Website,Home & Living,VIP,Credit Card,Standard,2,178.72,4.98,5.8,Not Returned
EUO-2024-106306,2024-11-02,Germany,Western Europe,Mobile App,Electronics,VIP,Buy Now Pay Later,Standard,1,163.72,14.05,5.8,Not Returned
EUO-2025-108899,2025-09-22,United Kingdom,Western Europe,Marketplace,Electronics,Returning,Buy Now Pay Later,Express,1,86.32,7.63,1.9,Not Returned
EUO-2025-108999,2025-11-08,Ireland,Western Europe,Website,Beauty,,Apple Pay,Economy,1,34.74,5.81,7.8,Not Returned
EUO-2024-103322,2024-06-14,Belgium,Western Europe,Website,Toys,Returning,Apple Pay,Standard,2,190.13,2.57,3.3,Not Returned
EUO-2025-108439,2025-05-10,United Kingdom,Western Europe,Website,Beauty,New,Credit Card,Standard,2,129.0,3.71,2.2,Not Returned
EUO-2025-102589,2025-08-13,Italy,Southern Europe,Website,Home & Living,Returning,PayPal,Standard,2,74.36,4.26,6.2,Not Returned
EUO-2024-100169,2024-10-11,Germany,Western Europe,Website,Electronics,VIP,Debit Card,Next Day,2,314.83,6.16,1.0,Not Returned
EUO-2025-111264,2025-06-01,Germany,Western Europe,Mobile App,Pet Care,Business,Credit Card,Standard,5,101.9,8.35,4.8,Not Returned
EUO-2024-111255,2024-11-07,France,Western Europe,Website,Electronics,VIP,Bank Transfer,Standard,4,734.48,5.34,6.8,Not Returned
EUO-2025-101010,2025-05-15,Spain,Southern Europe,Website,Sports,Business,Buy Now Pay Later,Standard,4,425.1,13.0,6.0,Not Returned
EUO-2024-111750,2024-03-05,United Kingdom,Western Europe,Marketplace,Pet Care,Returning,PayPal,Standard,4,135.71,5.25,4.5,Not Returned
EUO-2024-109527,2024-09-01,United Kingdom,Western Europe,Website,Office Supplies,Returning,PayPal,Pickup point,1,38.58,4.97,7.0,Not Returned
EUO-2025-101254,2025-09-30,Belgium,Western Europe,Website,Office Supplies,Returning,PayPal,Standard,1,27.06,5.65,4.9,Not Returned
EUO-2025-107109,07-03-2025,Spain,Southern Europe,Mobile App,Sports,,PayPal,pickup point,3,343.43,2.91,7.0,Not Returned
EUO-2025-108840,2025-09-27,Italy,Southern Europe,Website,Fashion,VIP,Credit Card,Standard,2,78.04,4.13,9.4,Not Returned
EUO-2025-100149,21-Jan-2025,France,Western Europe,Website,Home & Living,VIP,Apple Pay,Standard,1,80.09,9.56,5.4,Not Returned
EUO-2025-103562,2025-01-09,France,Western Europe,Website,Home & Living,Returning,Credit Card,Standard,1,195.36,9.94,,Exchange
EUO-2025-103820,2025-06-22,United Kingdom,Western Europe,Website,Home & Living,New,PayPal,Economy,1,94.92,3.08,5.3,Not Returned
EUO-2025-113381,2025-09-26,Germany,Western Europe,Website,Home & Living,,PayPal,Economy,1,113.8,4.03,7.0,Not Returned
EUO-2025-107224,2025-09-15,Italy,Southern Europe,Mobile App,Electronics,Returning,Credit Card,Express,1,199.49,3.59,3.6,Not Returned
EUO-2024-107410,2024-10-14,Spain,Southern Europe,Website,Toys,New,Credit Card,Standard,1,76.88,10.88,3.3,Not Returned
EUO-2025-110182,2025-04-22,United Kingdom,Western Europe,Website,Toys,Returning,Bank Transfer,Pickup Point,4,109.1,1.27,3.0,Not Returned
EUO-2024-105572,12-23-2024,Austria,Central Europe,Website,Toys,VIP,Credit Card,Pickup Point,2,144.76,6.96,5.8,Not Returned
EUO-2025-101213,2025-01-04,France,Western Europe,Marketplace,Electronics,New,Debit Card,Next Day,5,744.28,10.87,4.3,Not Returned
EUO-2025-101261,2025-08-13,Belgium,Western Europe,Website,Sports,Returning,PayPal,Standard,1,70.25,10.76,5.2,Not Returned
EUO-2024-107420,2024-10-27,Germany,Western Europe,Website,Home & Living,Returning,Credit Card,Economy,4,417.08,5.9,6.0,Not Returned
EUO-2025-109161,2025-04-10,Spain,Southern Europe,Website,Home & Living,New,PayPal,Standard,2,105.08,3.96,4.6,Not Returned
EUO-2025-114614,2025-12-06,Germany,Western Europe,Marketplace,Beauty,Returning,,Standard,1,95.2,7.85,6.3,Not Returned
EUO-2025-112683,2025-04-26,Germany,Western Europe,Marketplace,Fashion,Returning,Credit Card,Standard,1,43.04,14.58,2.5,Exchange
EUO-2025-106503,2025-09-11,Italy,Southern Europe,Website,Fashion,VIP,Apple Pay,Economy,1,32.06,16.33,8.9,Returned
EUO-2025-113378,2025-02-14,France,Western Europe,Website,Office Supplies,VIP,Buy Now Pay Later,Standard,2,32.71,3.38,5.4,Not Returned
EUO-2025-102034,2025-04-07,France,Western Europe,Mobile App,Home & Living,Business,Credit Card,Economy,2,68.56,15.62,7.7,Not Returned
EUO-2025-105082,2025-06-19,United Kingdom,Western Europe,Marketplace,Beauty,Business,Credit Card,Standard,1,12.2,5.97,4.5,Not Returned
EUO-2025-102214,2025-07-20,France,Western Europe,Marketplace,Electronics,Business,Debit Card,Economy,2,655.85,6.47,6.1,Returned
EUO-2025-104062,2025-10-08,Germany,Western Europe,Website,Electronics,Returning,Credit Card,Express,4,832.91,6.26,3.6,Not Returned
EUO-2025-114070,2025-04-01,Czech Republic,Central & Eastern Europe,Website,Home & Living,New,PayPal,Next Day,1,56.46,5.36,1.7,Not Returned
EUO-2025-109870,2025-05-31,Spain,Southern Europe,Website,Beauty,New,PayPal,Standard,2,105.99,9.71,5.9,Not Returned
EUO-2024-109725,2024-12-02,Sweden,Northern Europe,Website,Electronics,New,Credit Card,Standard,5,706.04,2.38,5.9,Not Returned
EUO-2025-109553,2025-07-22,Portugal,Southern Europe,Website,Sports,Returning,Bank Transfer,Economy,3,188.8,4.98,8.3,Not Returned
EUO-2024-110044,2024-04-15,Italy,Southern Europe,Mobile App,Electronics,Returning,Apple Pay,Economy,1,431.35,3.49,7.9,Not Returned
EUO-2025-102495,2025-06-17,Sweden,Northern Europe,Mobile App,Fashion,Business,Buy Now Pay Later,Pickup Point,5,113.56,2.69,6.3,Not Returned
EUO-2025-107971,2025-04-25,France,Western Europe,Website,Office Supplies,Returning,Credit Card,Standard,3,111.03,4.11,5.7,Not Returned
EUO-2025-101655,2025-02-16,Germany,Western Europe,Website,Fashion,Business,PayPal,Economy,2,171.81,2.85,7.9,Returned
EUO-2025-103679,2025-03-13,Netherlands,Western Europe,Website,Fashion,Returning,PayPal,Pickup Point,2,188.61,9.66,5.7,Not Returned
EUO-2025-111178,2025-05-30,Italy,Southern Europe,Website,Home & Living,Returning,PayPal,Standard,2,78.24,4.93,5.5,Returned
EUO-2024-114458,2024-08-12,Italy,Southern Europe,Website,Electronics,Returning,Credit Card,Economy,4,1026.51,7.74,,Not Returned
EUO-2024-112801,2024-06-24,Germany,Western Europe,Marketplace,Office Supplies,Returning,Credit Card,Economy,1,26.92,8.71,8.1,Not Returned
EUO-2024-114523,2024-02-07,Sweden,Northern Europe,Marketplace,Home & Living,Returning,Bank Transfer,Pickup Point,1,135.77,8.09,8.5,Not Returned
EUO-2024-101358,2024-08-28,United Kingdom,Western Europe,Marketplace,Electronics,Returning,Apple Pay,Economy,2,319.99,5.59,8.0,Not Returned
EUO-2025-110415,2025-03-16,Germany,Western Europe,Website,Home & Living,Returning,Bank Transfer,Standard,3,408.94,1.28,3.9,Not Returned
EUO-2025-102154,2025-01-26,Germany,Western Europe,Website,Beauty,Business,PayPal,Pickup Point,5,268.67,1.79,4.7,Returned
EUO-2025-112390,2025-03-09,Portugal,Southern Europe,Website,Electronics,New,Debit Card,Standard,3,1205.28,3.83,4.6,Not Returned
EUO-2025-109185,2025-02-16,Germany,Western Europe,Marketplace,Home & Living,Returning,PayPal,Economy,2,128.91,3.62,5.1,Not Returned
EUO-2025-103482,2025-01-15,France,Western Europe,Mobile App,Home & Living,Returning,Buy Now Pay Later,Express,1,243.48,4.54,1.1,Exchange
EUO-2025-114713,14-Sep-2025,Sweden,Northern Europe,Marketplace,Fashion,Returning,Bank Transfer,Express,1,86.3,2.76,3.9,Not Returned
EUO-2025-104720,2025-02-16,Germany,Western Europe,Website,Home & Living,Returning,PayPal,Next Day,2,523.69,1.11,1.9,Not Returned
EUO-2024-107841,2024-10-17,Belgium,Western Europe,Website,Sports,New,PayPal,Standard,3,231.43,7.41,3.5,Not Returned
EUO-2025-103251,15/01/2025,Belgium,Western Europe,Mobile App,Home & Living,New,Debit Card,Express,1,177.53,3.19,1.0,Not Returned
EUO-2024-105945,2024-05-24,Sweden,Northern Europe,Website,Home & Living,Returning,PayPal,Standard,1,81.14,3.62,4.9,
EUO-2024-108845,2024-11-21,France,Western Europe,website,Beauty,Returning,Debit Card,Standard,2,41.17,4.79,4.9,Not Returned
EUO-2024-102453,2024-05-05,Germany,Western Europe,Mobile App,Home & Living,Business,Buy Now Pay Later,Express,2,99.92,11.9,1.4,Exchange
EUO-2025-102417,2025-01-30,Belgium,Western Europe,Marketplace,Toys,VIP,Buy Now Pay Later,Standard,2,66.22,13.39,4.3,Not Returned
EUO-2025-114383,2025-05-29,France,Western Europe,Website,Beauty,Returning,PayPal,Standard,2,21.02,3.4,4.7,Not Returned
EUO-2024-100088,2024-12-12,Spain,Southern Europe,Mobile App,Home & Living,New,Credit Card,Express,2,521.18,1.49,3.7,Not Returned
EUO-2025-107344,2025-05-10,France,Western Europe,Marketplace,Electronics,Business,Credit Card,Express,15,2203.68,40.41,1.5,Exchange
EUO-2025-114241,2025-04-13,United Kingdom,Western Europe,Mobile App,Electronics,Returning,Debit Card,Pickup Point,3,664.48,2.13,3.8,Returned
EUO-2025-102856,2025-12-08,Netherlands,Western Europe,Website,Home & Living,Business,Credit Card,Pickup Point,10,1142.23,2.09,4.2,Not Returned
EUO-2025-100566,2025-04-18,Poland,Central & Eastern Europe,Website,Beauty,New,Credit Card,Standard,2,70.89,4.89,3.7,Not Returned
EUO-2025-101475,2025-03-21,Germany,Western Europe,Website,Beauty,Returning,PayPal,Standard,1,21.5,3.77,2.5,Not Returned
